City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,west island,-12.1568,96.8225,87.78,74,40,10.36,CC,1704524533
1,namibe,-15.1961,12.1522,73.6,69,93,7.74,AO,1704524170
2,port-aux-francais,-49.35,70.2167,44.53,87,100,37.45,TF,1704524534
3,tiksi,71.6872,128.8694,-27.49,99,55,7.92,RU,1704524367
4,island harbour,50.724,-1.2758,42.22,92,15,5.01,GB,1704524213
5,iqaluit,63.7506,-68.5145,-20.58,91,17,5.19,CA,1704524536
6,necochea,-38.5473,-58.7368,66.36,90,100,15.7,AR,1704524537
7,albany,42.6001,-73.9662,30.02,80,15,3.0,US,1704524538
8,bethel,41.3712,-73.414,26.64,81,55,2.37,US,1704524539
9,kaa-khem,51.6833,94.7333,-4.59,87,100,1.36,RU,1704524539
10,isafjordur,66.0755,-23.124,27.68,82,96,8.23,IS,1704524540
11,puerto natales,-51.7236,-72.4875,41.85,93,100,6.71,CL,1704524541
12,lompoc,34.6391,-120.4579,50.72,70,0,11.5,US,1704524541
13,jamestown,42.097,-79.2353,27.99,99,0,3.44,US,1704524542
14,keetmanshoop,-26.5833,18.1333,82.04,16,5,1.5,NA,1704524442
15,longyearbyen,78.2186,15.6401,4.84,66,75,8.05,SJ,1704524259
16,yellowknife,62.456,-114.3525,-15.59,95,100,1.99,CA,1704524486
17,olonkinbyen,70.9221,-8.7187,22.5,88,100,9.35,SJ,1704524544
18,waitangi,-43.9535,-176.5597,56.82,97,100,7.0,NZ,1704524545
19,nabire,-3.3667,135.4833,81.91,81,100,2.37,ID,1704524312
20,thompson,55.7435,-97.8558,-6.52,86,100,1.95,CA,1704524546
21,tongliao,43.6125,122.2653,15.17,64,98,13.42,CN,1704524412
22,kuanda,56.3161,116.0806,-20.65,97,6,0.47,RU,1704524547
23,invercargill,-46.4,168.35,58.01,77,49,11.99,NZ,1704524400
24,blackmans bay,-43.0167,147.3167,69.93,71,43,1.99,AU,1704524548
25,valparaiso,-33.0393,-71.6273,59.59,89,26,6.2,CL,1704524421
26,jinchang,38.4953,102.1739,32.45,27,0,6.42,CN,1704524374
27,grytviken,-54.2811,-36.5092,40.14,83,81,1.48,GS,1704524551
28,manaure,11.7751,-72.4445,78.75,79,34,16.62,CO,1704524552
29,robit,12.0167,39.6333,67.37,60,30,5.7,ET,1704524552
30,ushuaia,-54.8,-68.3,42.46,81,0,4.61,AR,1704524396
31,bilibino,68.0546,166.4372,-33.5,99,100,1.7,RU,1704524553
32,praia da vitoria,38.7333,-27.0667,59.76,88,40,9.42,PT,1704524048
33,edinburgh of the seven seas,-37.0676,-12.3116,58.46,63,97,12.55,SH,1704524554
34,hamilton,39.1834,-84.5333,36.41,73,100,1.01,US,1704524389
35,puerto ayora,-0.7393,-90.3518,76.55,97,72,1.01,EC,1704524556
36,tofol,5.3248,163.0078,82.87,77,100,17.87,FM,1704523986
37,hawaiian paradise park,19.5933,-154.9731,71.04,97,74,8.08,US,1704524557
38,veinticinco de mayo,-35.4323,-60.1727,67.95,81,100,7.65,AR,1704524557
39,kosiv,48.3107,25.0958,41.7,65,100,4.27,UA,1704524558
40,vorgashor,67.5833,63.95,-0.44,97,100,12.93,RU,1704524558
41,carahue,-38.7,-73.1667,53.55,94,54,1.86,CL,1704524559
42,magadan,59.5667,150.8,-21.48,83,0,7.74,RU,1704524326
43,amga,60.8953,131.9608,-43.65,100,48,1.25,RU,1704524560
44,saint-philippe,-21.3585,55.7679,88.11,85,88,8.12,RE,1704524108
45,enewetak,11.3474,162.3373,80.4,66,100,15.23,MH,1704524076
46,pacocha,-17.5833,-71.3333,69.1,89,89,5.82,PE,1704524562
47,kapa'a,22.0752,-159.319,71.58,81,65,1.99,US,1704524563
48,dryden,49.7833,-92.7503,17.89,86,100,6.91,CA,1704524163
49,kirkel,49.2833,7.2333,41.34,96,100,6.91,DE,1704524564
50,ribeira grande,38.5167,-28.7,61.43,66,55,16.11,PT,1704524565
51,nemuro,43.3236,145.575,33.44,71,98,9.75,JP,1704524369
52,uturoa,-16.7333,-151.4333,79.07,83,100,13.73,PF,1704524567
53,flin flon,54.7682,-101.865,0.45,93,100,4.68,CA,1704524567
54,port elizabeth,-33.918,25.5701,75.09,75,97,10.0,ZA,1704524568
55,tolanaro,-25.0319,46.9987,78.12,81,100,13.82,MG,1704524568
56,yuzhno-kurilsk,44.0306,145.8556,35.38,95,23,9.93,RU,1704524569
57,kokopo,-4.352,152.2633,82.53,79,89,7.23,PG,1704524570
58,lensk,60.7253,114.9278,-15.93,97,27,3.36,RU,1704524212
59,alice springs,-23.7,133.8833,98.15,35,75,9.22,AU,1704524538
60,aasiaat,68.7098,-52.8699,8.01,79,100,5.88,GL,1704524572
61,alofi,-19.0595,-169.9187,80.49,83,24,6.91,NU,1704524202
62,halifax,44.6453,-63.5724,19.49,83,75,5.01,CA,1704524404
63,bamna,23.0833,74.7667,74.41,37,3,7.83,IN,1704524574
64,vila velha,-20.3297,-40.2925,75.94,90,100,4.0,BR,1704524462
65,kodiak,57.79,-152.4072,29.71,93,0,5.75,US,1704524575
66,susuman,62.7833,148.1667,-45.02,100,98,1.01,RU,1704524576
67,igarka,67.4667,86.5833,-20.9,99,84,3.69,RU,1704524150
68,adamstown,-25.066,-130.1015,72.91,73,100,15.97,PN,1704524577
69,puerto ayacucho,5.6639,-67.6236,79.18,72,100,3.85,VE,1704524578
70,khandyga,62.6667,135.6,-35.18,100,100,0.87,RU,1704524578
71,nar'yan-mar,67.6713,53.087,11.1,96,100,5.99,RU,1704524078
72,talnakh,69.4865,88.3972,-18.92,93,71,8.97,RU,1704524579
73,amahai,-3.3333,128.9167,81.25,83,100,1.21,ID,1704524580
74,chonchi,-42.6128,-73.8092,52.81,99,36,1.61,CL,1704524581
75,port lincoln,-34.7333,135.8667,71.11,72,100,7.29,AU,1704524581
76,uttarkashi,30.7333,78.45,65.71,15,0,5.91,IN,1704524582
77,tura,25.5198,90.2201,75.29,35,10,3.89,IN,1704524582
78,constantia,44.1833,28.65,43.7,83,100,15.93,RO,1704524583
79,zelenogorsk,56.1147,94.5861,25.54,87,100,12.82,RU,1704524401
80,bardai,11.65,7.2333,63.21,21,5,9.57,NG,1704523987
81,yulinshi,38.2906,109.7494,20.14,39,0,6.78,CN,1704524585
82,khark,29.2614,50.3306,65.43,59,0,19.19,IR,1704524586
83,macouria,4.9167,-52.3667,78.75,89,20,8.05,GF,1704524586
84,lihue,21.9789,-159.3672,70.84,85,40,0.0,US,1704524587
85,ancud,-41.8697,-73.8203,55.38,95,100,3.42,CL,1704524588
86,bentiu,9.2333,29.8333,79.3,16,64,7.0,SS,1704524588
87,atafu village,-8.5421,-172.5159,83.95,67,100,3.0,TK,1704524589
88,labasa,-16.4167,179.3833,79.5,88,71,4.54,FJ,1704524590
89,lethem,3.3803,-59.7968,77.83,71,100,11.65,GY,1704524590
90,klyuchi,52.2667,79.1667,21.02,85,97,11.03,RU,1704524591
91,bredasdorp,-34.5322,20.0403,74.48,50,77,15.48,ZA,1704524592
92,smithers,54.7804,-127.1743,26.92,86,100,8.05,CA,1704524091
93,nizhneudinsk,54.9076,99.0276,13.32,84,100,1.74,RU,1704524593
94,trincomalee,8.5711,81.2335,81.64,77,43,8.21,LK,1704524593
95,colonia,50.9333,6.95,43.59,86,75,9.22,DE,1704524582
96,trairi,-3.2778,-39.2689,80.82,75,100,10.0,BR,1704524595
97,petropavlovsk-kamchatsky,53.0452,158.6483,0.45,78,4,10.0,RU,1704524596
98,tsiombe,-25.3,45.4833,84.61,65,33,8.66,MG,1704524329
99,vrangel',42.7297,133.0839,22.15,54,5,13.24,RU,1704524597
100,contamana,-7.3333,-75.0167,73.04,99,100,2.19,PE,1704524598
101,illizi,26.4833,8.4667,49.8,22,0,5.21,DZ,1704524000
102,whitehorse,60.7161,-135.0538,2.8,82,100,0.0,CA,1704524599
103,henderson,36.0397,-114.9819,51.24,29,0,14.97,US,1704524600
104,hithadhoo,-0.6,73.0833,81.14,77,100,12.97,MV,1704524601
105,agria,47.9026,20.3733,41.0,94,100,3.94,HU,1704524601
106,codrington,-38.2667,141.9667,66.2,86,100,13.22,AU,1704524148
107,wailua homesteads,22.0669,-159.378,70.23,84,40,1.99,US,1704524603
108,puebla,18.8333,-98.0,55.29,60,1,1.07,MX,1704524494
109,coihueco,-36.6167,-71.8333,52.54,94,0,2.3,CL,1704524604
110,porto novo,6.4965,2.6036,79.86,80,6,3.22,BJ,1704524432
111,cabo san lucas,22.8909,-109.9124,67.75,52,83,3.0,MX,1704524424
112,sambava,-14.2667,50.1667,85.98,71,100,5.01,MG,1704524606
113,christchurch,-43.5333,172.6333,65.53,62,50,14.97,NZ,1704524361
114,port mathurin,-19.6833,63.4167,82.35,74,84,3.85,MU,1704524607
115,haiku-pauwela,20.9219,-156.3051,74.05,77,0,5.75,US,1704524607
116,katsuura,35.1333,140.3,60.01,57,0,25.19,JP,1704524608
117,qoryooley,1.7878,44.53,86.04,45,18,16.22,SO,1704524609
118,kas,36.2018,29.6377,62.71,59,100,5.26,TR,1704524609
119,champerico,14.3,-91.9167,76.41,81,58,4.38,GT,1704524610
120,college,64.8569,-147.8028,-12.93,72,20,0.0,US,1704524610
121,mount pearl,47.5166,-52.7813,26.33,94,100,17.0,CA,1704524611
122,papatowai,-46.5619,169.4708,59.85,61,65,9.62,NZ,1704524612
123,sao gabriel da cachoeira,-0.1303,-67.0892,73.53,91,100,1.79,BR,1704524612
124,langerwehe,50.8167,6.35,41.23,91,100,5.7,DE,1704524613
125,wladyslawowo,54.7909,18.4009,29.01,67,58,10.83,PL,1704524613
126,sitka,57.0531,-135.33,31.89,86,0,4.61,US,1704524614
127,puerto baquerizo moreno,-0.9,-89.6,75.52,85,100,8.5,EC,1704524615
128,luderitz,-26.6481,15.1594,68.86,70,0,10.42,NA,1704524449
129,quellon,-43.1167,-73.6167,49.91,93,6,3.94,CL,1704524455
130,chui,-33.6971,-53.4616,66.65,94,83,9.22,UY,1704524617
131,matalam,7.0864,124.9006,87.94,64,89,5.66,PH,1704524617
132,lebu,-37.6167,-73.65,55.29,95,7,2.51,CL,1704524064
133,jawf al maqbabah,13.8378,45.8349,74.07,34,6,2.86,YE,1704524619
134,muli,2.9167,73.5667,81.61,77,100,8.21,MV,1704524619
135,takoradi,4.8845,-1.7554,80.51,84,75,5.28,GH,1704524427
136,badger,64.8,-147.5333,-13.02,74,0,0.0,US,1704524621
137,stanley,54.868,-1.6985,33.53,96,75,5.75,GB,1704524448
138,okha,53.5739,142.9478,-7.49,99,76,10.16,RU,1704524528
139,le port,-20.9373,55.2919,87.76,82,51,1.83,RE,1704524387
140,chibougamau,49.9168,-74.3659,-0.78,78,40,5.75,CA,1704524030
141,punta arenas,-53.15,-70.9167,42.91,87,40,4.61,CL,1704524489
